filename,psnr_champ,psnr_adv,ssim_champ,ssim_adv,mae_champ,mae_adv,mse_champ,mse_adv,grad_mae_champ,grad_mae_adv,d_PSNR,d_SSIM,d_MAE,d_MSE,d_GradMAE
000001.npy,31.036494453775813,31.231755285357718,0.8443540590130091,0.8517032607209682,0.02056053653359413,0.02011268585920334,0.0007876813178882003,0.0007530510774813592,0.14501318,0.13722463,0.19526083158190488,0.007349201707959163,-0.00044785067439079285,-3.463024040684104e-05,-0.007788554
000021.npy,30.845892002604018,30.701640554362136,0.8470364180471972,0.847753517257899,0.01841053180396557,0.018761586397886276,0.0008230208186432719,0.0008508165483362973,0.13551776,0.13309233,-0.14425144824188152,0.0007170992107018437,0.0003510545939207077,2.779572969302535e-05,-0.0024254322
000034.npy,23.862985901686443,23.860522178915055,0.582498336406938,0.5806615226878121,0.04108782857656479,0.04146936163306236,0.0041086720302701,0.004111003130674362,0.33943462,0.33951443,-0.002463722771388177,-0.0018368137191259182,0.00038153305649757385,2.3311004042625427e-06,7.981062e-05
000064.npy,27.835707597963705,27.89219855804997,0.8742834634961002,0.8805299952664003,0.02587253972887993,0.024242348968982697,0.0016459976322948933,0.001624725991860032,0.17330584,0.17006496,0.05649096008626486,0.006246531770300101,-0.001630190759897232,-2.1271640434861183e-05,-0.0032408834
000095.npy,34.39018005954544,34.41014597948184,0.8489967911827564,0.8513705225841999,0.013427924364805222,0.013402024284005165,0.00036389994784258306,0.0003622308140620589,0.09917761,0.09765924,0.019965919936396404,0.0023737314014434796,-2.5900080800056458e-05,-1.6691337805241346e-06,-0.0015183687
000098.npy,28.52617322058141,28.59977223546421,0.7608520996430517,0.7608621868879795,0.02817469649016857,0.028103895485401154,0.0014040502719581127,0.0013804566115140915,0.19607878,0.19312833,0.0735990148828023,1.0087244927792227e-05,-7.080100476741791e-05,-2.3593660444021225e-05,-0.0029504448
000103.npy,31.55494188466493,32.14377720809839,0.7867476756330579,0.801817720821023,0.01979757472872734,0.01875302754342556,0.000699046126101166,0.0006104108761064708,0.12772006,0.11896771,0.5888353234334609,0.015070045187965064,-0.0010445471853017807,-8.863524999469519e-05,-0.008752346
000122.npy,29.025629185933404,29.047480391673712,0.8676147318289242,0.8711973577578663,0.020088426768779755,0.02060585469007492,0.0012515177950263023,0.001245236722752452,0.14309986,0.13928229,0.02185120574030819,0.003582625928942096,0.000517427921295166,-6.281072273850441e-06,-0.0038175732
000130.npy,23.43450977864689,23.46345074630247,0.785080792494921,0.792468122795403,0.05154280737042427,0.05122755840420723,0.004534704610705376,0.004504586104303598,0.44826055,0.44650838,0.028940967655579186,0.007387330300481998,-0.000315248966217041,-3.0118506401777267e-05,-0.0017521679
000146.npy,29.443051497571503,29.849519282856015,0.5423743076885342,0.5563873082099855,0.02620231732726097,0.025164075195789337,0.00113682821393013,0.001035256776958704,0.17835122,0.1693346,0.4064677852845122,0.014013000521451269,-0.001038242131471634,-0.00010157143697142601,-0.009016618
000160.npy,29.483737004378575,29.42366106654916,0.8692483750549406,0.8676380026093014,0.024496547877788544,0.02483707293868065,0.0011262280168011785,0.0011419152142480016,0.18116288,0.18158275,-0.060075937829417114,-0.0016103724456392188,0.0003405250608921051,1.568719744682312e-05,0.00041987002
